## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details,UDS Name,UDS Field Name,UDS Field Type,UDS Field Struct Type,UDS Comment
## 4.0
,,,,,,,,,,,,,,,,,,,"Recipe",,,,
,,,,,,,,,,,,,,,,,,,"Recipe","SetPt","US16",,
,,,,,,,,,,,,,,,,,,,"Recipe","ProcessVar","F32",,
,,,,,,,,,,,,,,,,,,,"Recipe","P","F32",,
,,,,,,,,,,,,,,,,,,,"Recipe","I","F32",,
,,,,,,,,,,,,,,,,,,,"Recipe","D","F32",,
,,,,,,,,,,,,,,,,,,,"Recipe","Name","STR",,
,,,,,,,,,,,,,,,,,,,"Recipe","Number","US16",,
,,,,,,,,,,,,,,,,,,,"Recipe","Output","S32",,
SBR-001008,"1 Minute Bit",false,"False",,,,,,,"On for 30 seconds and Off for 30 seconds",,,,false,,"SBR",,false
SBR-001009,"2 Second Bit",false,"False",,,,,,,"On for 1 second and Off for 1 second",,,,false,,"SBR",,false
AIS32-0.1.1.1,"AI1_1",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.1.1","AIS32",,false
AIS32-0.1.1.2,"AI1_2",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.1.2","AIS32",,false
AIS32-0.1.1.3,"AI1_3",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.1.3","AIS32",,false
AIS32-0.1.1.4,"AI1_4",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.1.4","AIS32",,false
AOS32-0.1.1.1,"AO1_1",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.1.1","AOS32",,false
AOS32-0.1.1.2,"AO1_2",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.1.2","AOS32",,false
SBR-001002,"Always Off Bit",false,"False",,,,,,,"always off",,,,false,,"SBR",,false
SBR-001017,"Array out of range error",false,"False",,,,,,,"On if an array index is outside the range of the array",,,,false,,"SBR",,false
SWR-001514,"Array range error rung location",false,"0",,,,,,,"Rung Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001513,"Array range error task location",false,"0",,,,,,,"Task Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001506,"Avg Logic Scan Time [x100=usec]",false,"0",,,,,,,"average logic scan time",,,,false,,"SWR",,false
